<Acq date>	TB00001K	TB00002K	TB00003K
13-01-2014_03:26:27.605	14.0	15.5	13.666666666666666
13-01-2014_03:26:59.605	14.0	15.5	13.666666666666666
13-01-2014_03:27:31.605	14.0	15.5	13.666666666666666
13-01-2014_03:27:47.605	14.0	16.0	13.666666666666666
13-01-2014_03:28:03.606	14.0	16.0	13.666666666666666
13-01-2014_03:28:35.605	14.0	16.0	14.0
13-01-2014_03:29:07.605	14.0	16.0	14.0
13-01-2014_03:29:39.605	14.0	16.0	14.0
13-01-2014_03:29:55.604	14.5	16.0	14.0
13-01-2014_03:30:11.606	14.5	16.0	14.0
13-01-2014_03:30:43.604	14.5	16.0	14.0
13-01-2014_03:31:15.605	14.5	16.0	14.0
13-01-2014_03:31:47.604	14.5	16.0	14.0
13-01-2014_03:32:03.605	14.5	16.0	14.0
13-01-2014_03:32:19.606	14.5	16.0	14.0
13-01-2014_03:32:51.604	14.5	16.333333333333332	14.5
13-01-2014_03:33:23.604	14.5	16.333333333333332	14.5
13-01-2014_03:33:55.604	15.0	16.333333333333332	14.5
13-01-2014_03:34:11.604	15.0	16.333333333333332	14.5
13-01-2014_03:34:27.605	15.0	16.333333333333332	14.5
13-01-2014_03:34:59.604	15.0	16.333333333333332	14.5
13-01-2014_03:35:31.604	15.0	16.333333333333332	14.5
13-01-2014_03:36:03.604	15.0	16.333333333333332	14.5
13-01-2014_03:36:19.604	15.0	16.333333333333332	15.0
13-01-2014_03:36:35.605	15.0	16.333333333333332	15.0
13-01-2014_03:37:07.604	15.0	16.333333333333332	15.0
13-01-2014_03:37:39.604	15.0	16.333333333333332	15.0
13-01-2014_03:38:11.604	15.0	16.333333333333332	15.0
13-01-2014_03:38:27.604	15.0	16.333333333333332	15.0
13-01-2014_03:38:43.605	15.5	16.666666666666668	15.0
13-01-2014_03:39:15.603	15.5	16.666666666666668	15.0
13-01-2014_03:39:47.603	15.5	16.666666666666668	15.0
13-01-2014_03:40:19.604	15.5	16.666666666666668	15.0
13-01-2014_03:40:35.603	15.5	16.666666666666668	15.0
13-01-2014_03:40:51.605	15.5	16.666666666666668	15.0
13-01-2014_03:41:23.603	15.5	16.666666666666668	15.0
13-01-2014_03:41:55.603	15.5	16.666666666666668	15.0
13-01-2014_03:42:27.603	15.5	16.666666666666668	15.0
13-01-2014_03:42:43.603	15.5	16.666666666666668	15.0
13-01-2014_03:42:59.604	15.5	16.666666666666668	15.0
13-01-2014_03:43:31.603	15.5	16.666666666666668	15.0
13-01-2014_03:44:03.603	15.5	16.666666666666668	15.0
13-01-2014_03:44:35.603	15.5	16.666666666666668	15.0
13-01-2014_03:44:51.603	15.5	16.666666666666668	15.0
13-01-2014_03:45:07.604	15.5	16.666666666666668	15.0
